1	Alabama	United States
2	Alaska	United States
3	Arizona	United States
4	Arkansas	United States
5	California	United States
6	Colorado	United States
7	Connecticut	United States
8	Delaware	United States
9	Florida	United States
10	Georgia	United States
11	Hawaii	United States
12	Idaho	United States
13	Illinois	United States
14	Indiana	United States
15	Iowa	United States
16	Kansas	United States
17	Kentucky	United States
18	Louisiana	United States
19	Maine	United States
20	Maryland	United States
21	Massachusetts	United States
22	Michigan	United States
23	Minnesota	United States
24	Mississippi	United States
25	Missouri	United States
26	Montana	United States
27	Nebraska	United States
28	Nevada	United States
29	New Hampshire	United States
30	New Jersey	United States
31	New Mexico	United States
32	New York	United States
33	North Carolina	United States
34	North Dakota	United States
35	Ohio	United States
36	Oklahoma	United States
37	Oregon	United States
38	Pennsylvania	United States
39	Rhode Island	United States
40	South Carolina	United States
41	South Dakota	United States
42	Tennessee	United States
43	Texas	United States
44	Utah	United States
45	Vermont	United States
46	Virginia	United States
47	Washington	United States
48	West Virginia	United States
49	Wisconsin	United States
50	Wyoming	United States
51	District of Columbia	United States
52	American Samoa	United States
53	Guam	United States
54	Northern Mariana Islands	United States
55	Puerto Rico	United States
56	U.S.Virgin Islands	United States
57	Afghanistan	Afghanistan
58	Albania	Albania
59	Algeria	Algeria
60	American Samoa	American Samoa
61	Andorra	Andorra
62	Angola	Angola
63	Anguilla	Anguilla
64	Antarctica	Antarctica
65	Antigua and Barbuda	Antigua and Barbuda
66	Argentina	Argentina
67	Armenia	Armenia
68	Aruba	Aruba
69	Australia	Australia
70	Austria	Austria
71	Azerbaijan	Azerbaijan
72	Bahamas	Bahamas
73	Bahrain	Bahrain
74	Bangladesh	Bangladesh
75	Barbados	Barbados
76	Belarus	Belarus
77	Belgium	Belgium
78	Belize	Belize
79	Benin	Benin
80	Bermuda	Bermuda
81	Bhutan	Bhutan
82	Bolivia	Bolivia
83	Bosnia and Herzegovina	Bosnia and Herzegovina
84	Botswana	Botswana
85	Brazil	Brazil
86	Brunei Darussalam	Brunei Darussalam
87	Bulgaria	Bulgaria
88	Burkina Faso	Burkina Faso
89	Burundi	Burundi
90	Cambodia	Cambodia
91	Cameroon	Cameroon
92	Canada	Canada
93	Cape Verde	Cape Verde
94	Cayman Islands	Cayman Islands
95	Central African Republic	Central African Republic
96	Chad	Chad
97	Chile	Chile
98	China	China
99	Christmas Island	Christmas Island
100	Cocos 	Cocos 
101	Colombia	Colombia
102	Comoros	Comoros
103	Congo	Congo
104	Cook Islands	Cook Islands
105	Costa Rica	Costa Rica
106	Croatia	Croatia
107	Cuba	Cuba
108	Cyprus	Cyprus
109	Czech Republic	Czech Republic
110	Democratic Republic of the Congo 	Democratic Republic of the Congo 
111	Denmark	Denmark
112	Djibouti	Djibouti
113	Dominica	Dominica
114	Dominican Republic	Dominican Republic
115	East Timor 	East Timor 
116	Ecuador	Ecuador
117	Egypt	Egypt
118	El Salvador	El Salvador
119	Equatorial Guinea	Equatorial Guinea
120	Eritrea	Eritrea
121	Estonia	Estonia
122	Ethiopia	Ethiopia
123	Falkland Islands	Falkland Islands
124	Faroe Islands	Faroe Islands
125	Fiji	Fiji
126	Finland	Finland
127	France	France
128	French Guiana	French Guiana
129	French Polynesia	French Polynesia
130	French Southern Territories	French Southern Territories
131	Gabon	Gabon
132	Gambia	Gambia
133	Georgia	Georgia
134	Germany	Germany
135	Ghana	Ghana
136	Gibraltar	Gibraltar
137	Great Britain	Great Britain
138	Greece	Greece
139	Greenland	Greenland
140	Grenada	Grenada
141	Guadeloupe	Guadeloupe
142	Guam	Guam
143	Guatemala	Guatemala
144	Guinea	Guinea
145	Guinea-Bissau	Guinea-Bissau
146	Guyana	Guyana
147	Haiti	Haiti
148	Holy See	Holy See
149	Honduras	Honduras
150	Hong Kong	Hong Kong
151	Hungary	Hungary
152	Iceland	Iceland
153	India	India
154	Indonesia	Indonesia
155	Iran 	Iran 
156	Iraq	Iraq
157	Ireland	Ireland
158	Israel	Israel
159	Italy	Italy
160	Ivory Coast	Ivory Coast
161	Jamaica	Jamaica
162	Japan	Japan
163	Jordan	Jordan
164	Kazakhstan	Kazakhstan
165	Kenya	Kenya
166	Kiribati	Kiribati
167	Kuwait	Kuwait
168	Kyrgyzstan	Kyrgyzstan
169	Lao	Lao
170	Latvia	Latvia
171	Lebanon	Lebanon
172	Lesotho	Lesotho
173	Liberia	Liberia
174	Libya	Libya
175	Liechtenstein	Liechtenstein
176	Lithuania	Lithuania
177	Luxembourg	Luxembourg
178	Macau	Macau
179	Macedonia	Macedonia
180	Madagascar	Madagascar
181	Malawi	Malawi
182	Malaysia	Malaysia
183	Maldives	Maldives
184	Mali	Mali
185	Malta	Malta
186	Marshall Islands	Marshall Islands
187	Martinique	Martinique
188	Mauritania	Mauritania
189	Mauritius	Mauritius
190	Mayotte	Mayotte
191	Mexico	Mexico
192	Micronesia	Micronesia
193	Moldova	Moldova
194	Monaco	Monaco
195	Mongolia	Mongolia
196	Montenegro	Montenegro
197	Montserrat	Montserrat
198	Morocco	Morocco
199	Mozambique	Mozambique
200	Myanmar	Myanmar
201	Namibia	Namibia
202	Nauru	Nauru
203	Nepal	Nepal
204	Netherlands	Netherlands
205	Netherlands Antilles	Netherlands Antilles
206	New Caledonia	New Caledonia
207	New Zealand	New Zealand
208	Nicaragua	Nicaragua
209	Niger	Niger
210	Nigeria	Nigeria
211	Niue	Niue
212	Northern Mariana Islands	Northern Mariana Islands
213	Norway	Norway
214	Oman	Oman
215	Pakistan	Pakistan
216	Palau	Palau
217	Palestinian territories	Palestinian territories
218	Panama	Panama
219	Papua New Guinea	Papua New Guinea
220	Paraguay	Paraguay
221	Peru	Peru
222	Philippines	Philippines
223	Pitcairn Island	Pitcairn Island
224	Poland	Poland
225	Portugal	Portugal
226	Puerto Rico	Puerto Rico
227	Qatar	Qatar
228	Reunion Island	Reunion Island
229	Romania	Romania
230	Russian Federation	Russian Federation
231	Rwanda	Rwanda
232	Saint Kitts and Nevis	Saint Kitts and Nevis
233	Saint Lucia	Saint Lucia
234	Saint Vincent and the Grenadines	Saint Vincent and the Grenadines
235	Samoa	Samoa
236	San Marino	San Marino
237	Sao Tome and Principe	Sao Tome and Principe
238	Saudi Arabia	Saudi Arabia
239	Senegal	Senegal
240	Serbia	Serbia
241	Seychelles	Seychelles
242	Sierra Leone	Sierra Leone
243	Singapore	Singapore
244	Slovakia 	Slovakia 
245	Slovenia	Slovenia
246	Solomon Islands	Solomon Islands
247	Somalia	Somalia
248	South Africa	South Africa
249	South Korea	South Korea
250	South Sudan	South Sudan
251	Spain	Spain
252	Sri Lanka	Sri Lanka
253	Sudan	Sudan
254	Suriname	Suriname
255	Swaziland	Swaziland
256	Sweden	Sweden
257	Switzerland	Switzerland
258	Syria	Syria
259	Taiwan 	Taiwan 
260	Tajikistan	Tajikistan
261	Tanzania; officially the United Republic of Tanzania	Tanzania; officially the United Republic of Tanzania
262	Thailand	Thailand
263	Tibet	Tibet
264	Timor-Leste 	Timor-Leste 
265	Togo	Togo
266	Tokelau	Tokelau
267	Tonga	Tonga
268	Trinidad and Tobago	Trinidad and Tobago
269	Tunisia	Tunisia
270	Turkey	Turkey
271	Turkmenistan	Turkmenistan
272	Turks and Caicos Islands	Turks and Caicos Islands
273	Tuvalu	Tuvalu
274	Uganda	Uganda
275	Ukraine	Ukraine
276	United Arab Emirates	United Arab Emirates
277	United Kingdom	United Kingdom
278	United States	United States
279	Uruguay	Uruguay
280	Uzbekistan	Uzbekistan
281	Vanuatu	Vanuatu
282	Vatican City State 	Vatican City State 
283	Venezuela	Venezuela
284	Vietnam	Vietnam
285	Virgin Islands 	Virgin Islands 
286	Wallis and Futuna Islands	Wallis and Futuna Islands
287	Western Sahara	Western Sahara
288	Yemen	Yemen
289	Zambia	Zambia
290	Zimbabwe	Zimbabwe
324	Jiangsu	Jiangsu
325	Ð Ð¾ÑÑÐ¸Ñ	Ð Ð¾ÑÑÐ¸Ñ
326	Guangdong	Guangdong
327	Estados Unidos	Estados Unidos
328	Washington D.C.	Washington D.C.
329	South Sulawesi	South Sulawesi
330	Mexique	Mexique
331	Andhra Pradesh	Andhra Pradesh
332	BelgiÃ«	BelgiÃ«
333	Nederland	Nederland
334	Hyogo	Hyogo
335	Tamil Nadu	Tamil Nadu
336	Haryana	Haryana
